name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Kawhi Leonard,2014,1,0,24,5.1,80.0,Jump Shot,0,6.5
Manu Ginobili,2014,1,0,23,4.9,80.0,Jump Shot,0,1.6
Danny Green,2014,1,0,25,4.3,77.0,Jump Shot,0,0.7
Danny Green,2014,1,0,24,11.3,77.0,Jump Shot,0,0.9
Jameer Nelson,2014,1,0,24,3.4,74.0,Jump Shot,0,0.8
Arron Afflalo,2014,1,0,27,3.3,78.0,Jump Shot,0,1.0
Nate Wolters,2014,1,0,25,5.8,76.0,Jump Shot,3,3.6
Brandon Knight,2014,1,0,25,4.2,76.0,Jump Shot,7,6.1
Khris Middleton,2014,1,0,26,5.0,76.0,Jump Shot,0,0.6
Trevor Ariza,2014,1,0,22,6.0,74.0,Jump Shot,0,0.6
Trevor Ariza,2014,1,0,25,5.9,79.0,Jump Shot,0,1.0
Bradley Beal,2014,1,0,23,10.4,74.0,Jump Shot,0,0.8
Trevor Ariza,2014,1,0,24,4.1,79.0,Jump Shot,0,0.7
John Wall,2014,0,0,40,7.2,83.0,Jump Shot,1,1.6
Darren Collison,2014,0,0,25,4.8,79.0,Jump Shot,4,5.8
Darren Collison,2014,1,0,24,4.8,73.0,Jump Shot,0,1.1
Matt Barnes,2014,1,0,26,5.2,79.0,Jump Shot,0,0.8
Matt Barnes,2014,1,0,24,5.7,78.0,Jump Shot,0,0.6
Matt Barnes,2014,1,0,24,10.7,78.0,Jump Shot,0,1.2
Chris Paul,2014,1,0,27,4.5,75.0,Jump Shot,0,1.8
Darren Collison,2014,0,0,27,6.4,79.0,Jump Shot,0,1.0
Josh McRoberts,2014,1,0,25,6.7,79.0,Jump Shot,0,1.2
Pero Antic,2014,1,0,25,9.5,83.0,Jump Shot,0,1.0
Pero Antic,2014,0,0,25,7.7,79.0,Jump Shot,0,1.0
DeMarre Carroll,2014,1,0,25,5.1,79.0,Jump Shot,0,0.7
Pero Antic,2014,0,0,25,6.2,83.0,Jump Shot,0,1.0
DeMarre Carroll,2014,0,0,26,2.8,72.0,Jump Shot,0,1.6
DeMarre Carroll,2014,1,0,25,5.0,73.0,Jump Shot,0,0.8
Kyle Korver,2014,1,0,22,5.9,81.0,Jump Shot,0,0.7
DeMarre Carroll,2014,0,0,26,3.9,79.0,Jump Shot,4,3.5
Kirk Hinrich,2014,1,0,24,4.0,74.0,Jump Shot,0,1.2
Jimmy Butler,2014,1,0,24,11.2,81.0,Jump Shot,0,0.8
Jimmy Butler,2014,1,0,25,4.2,81.0,Jump Shot,1,1.4
Chris Bosh,2014,1,0,25,6.0,83.0,Jump Shot,0,1.1
LeBron James,2014,1,0,27,3.7,81.0,Jump Shot,0,1.8
Russell Westbrook,2014,1,0,27,3.9,76.0,Jump Shot,6,9.5
Jeremy Lamb,2014,1,0,24,7.2,83.0,Jump Shot,0,0.9
Kevin Durant,2014,1,0,26,3.3,79.0,Jump Shot,0,4.0
Austin Rivers,2014,0,0,35,3.0,71.0,Jump Shot,1,1.2
Anthony Morrow,2014,1,0,25,5.6,72.0,Jump Shot,0,0.7
Eric Gordon,2014,1,0,25,6.3,76.0,Jump Shot,0,0.7
Tyreke Evans,2014,1,0,23,10.3,71.0,Jump Shot,0,1.0
Tyreke Evans,2014,0,0,25,5.2,80.0,Jump Shot,0,0.9
Randy Foye,2014,1,0,23,6.9,75.0,Jump Shot,2,1.2
Evan Fournier,2014,1,0,23,5.9,77.0,Jump Shot,0,0.5
Randy Foye,2014,0,0,55,2.7,75.0,Jump Shot,3,1.8
Chris Johnson,2014,1,0,27,6.3,80.0,Jump Shot,0,0.8
Jeff Green,2014,1,0,25,6.2,81.0,Jump Shot,1,1.8
Rajon Rondo,2014,1,0,24,4.6,73.0,Jump Shot,1,3.5
Jeff Green,2014,1,0,24,4.3,73.0,Jump Shot,0,0.9
